,0 pers,1 pers,2 pers,3 pers,4 pers,5+ pers
100_1,11.4,82.9,5.7,0.0,0.0,0.0
101_7,0.0,5.3,47.4,31.6,15.8,0.0
102_8,10.3,6.9,72.4,10.3,0.0,0.0
103_13,40.7,59.3,0.0,0.0,0.0,0.0
104_6,1.2,38.6,51.8,7.2,1.2,0.0
105_14,0.0,0.0,100.0,0.0,0.0,0.0
106_2,0.0,27.9,72.1,0.0,0.0,0.0
107_7,0.0,12.5,87.5,0.0,0.0,0.0
108_3,0.0,25.0,75.0,0.0,0.0,0.0
109_13,15.4,0.0,84.6,0.0,0.0,0.0
10_15,34.5,65.5,0.0,0.0,0.0,0.0
110_2,25.0,40.0,35.0,0.0,0.0,0.0
111_10,0.0,68.8,18.8,6.2,6.2,0.0
112_8,70.0,30.0,0.0,0.0,0.0,0.0
113_11,0.0,0.0,0.0,0.0,11.1,88.9
114_12,6.7,46.7,46.7,0.0,0.0,0.0
115_14,0.0,31.2,62.5,6.2,0.0,0.0
116_15,0.0,11.1,16.7,5.6,44.4,22.2
117_9,5.4,21.6,62.2,8.1,2.7,0.0
118_13,0.0,2.6,20.8,39.0,37.7,0.0
119_8,23.8,23.8,52.4,0.0,0.0,0.0
11_2,18.8,81.2,0.0,0.0,0.0,0.0
120_7,0.0,0.0,0.0,9.1,18.2,72.7
121_13,0.0,28.6,42.9,28.6,0.0,0.0
122_2,9.1,18.2,18.2,45.5,0.0,9.1
123_2,56.2,43.8,0.0,0.0,0.0,0.0
124_13,2.2,8.9,11.1,75.6,2.2,0.0
125_2,8.7,34.8,13.0,21.7,8.7,13.0
126_13,12.5,6.2,81.2,0.0,0.0,0.0
127_9,0.0,0.0,41.2,41.2,11.8,5.9
128_5,3.3,30.0,63.3,3.3,0.0,0.0
129_5,0.0,61.9,38.1,0.0,0.0,0.0
12_13,21.4,57.1,7.1,14.3,0.0,0.0
130_14,5.3,68.4,26.3,0.0,0.0,0.0
131_13,0.0,68.0,32.0,0.0,0.0,0.0
132_3,11.8,23.5,58.8,5.9,0.0,0.0
133_3,2.5,27.5,45.0,22.5,2.5,0.0
134_2,0.0,6.9,6.9,10.3,10.3,65.5
135_2,15.0,55.0,5.0,0.0,15.0,10.0
136_5,8.7,21.7,69.6,0.0,0.0,0.0
137_15,35.7,0.0,14.3,7.1,0.0,42.9
138_9,26.3,26.3,10.5,21.1,15.8,0.0
139_11,0.0,9.1,45.5,45.5,0.0,0.0
13_2,6.2,18.8,75.0,0.0,0.0,0.0
140_15,41.7,58.3,0.0,0.0,0.0,0.0
141_14,8.0,80.0,8.0,0.0,4.0,0.0
142_15,25.0,75.0,0.0,0.0,0.0,0.0
143_9,0.0,57.1,0.0,4.8,9.5,28.6
144_11,0.0,40.0,60.0,0.0,0.0,0.0
145_3,0.0,21.1,78.9,0.0,0.0,0.0
146_12,6.2,21.9,71.9,0.0,0.0,0.0
147_1,0.0,65.0,35.0,0.0,0.0,0.0
148_4,0.0,59.3,7.4,7.4,0.0,25.9
149_11,0.0,0.0,6.7,66.7,0.0,26.7
14_15,13.3,86.7,0.0,0.0,0.0,0.0
150_15,0.0,57.1,14.3,0.0,21.4,7.1
151_13,0.0,31.8,45.5,4.5,4.5,13.6
152_10,0.0,100.0,0.0,0.0,0.0,0.0
153_11,26.7,6.7,66.7,0.0,0.0,0.0
154_1,0.0,7.7,92.3,0.0,0.0,0.0
155_6,0.0,26.1,73.9,0.0,0.0,0.0
156_11,8.3,25.0,33.3,16.7,16.7,0.0
157_9,9.1,66.7,15.2,9.1,0.0,0.0
158_2,0.0,0.0,0.0,0.0,54.5,45.5
159_12,7.3,78.0,14.6,0.0,0.0,0.0
15_13,0.0,5.9,11.8,17.6,0.0,64.7
160_9,0.0,7.4,33.3,40.7,11.1,7.4
161_3,0.0,2.7,73.0,2.7,5.4,16.2
162_6,11.9,16.6,21.8,11.9,10.9,26.9
163_4,0.0,4.5,0.0,54.5,0.0,40.9
164_3,0.0,6.2,93.8,0.0,0.0,0.0
165_10,9.7,61.3,29.0,0.0,0.0,0.0
166_13,0.0,22.2,33.3,22.2,22.2,0.0
167_4,0.0,5.6,16.7,36.1,25.0,16.7
168_2,0.0,11.8,58.8,29.4,0.0,0.0
169_13,0.0,50.0,19.4,11.1,2.8,16.7
16_15,0.0,18.2,9.1,0.0,0.0,72.7
170_13,0.0,10.0,6.7,66.7,0.0,16.7
171_11,0.0,0.0,45.5,18.2,18.2,18.2
172_10,7.1,90.5,2.4,0.0,0.0,0.0
173_1,0.0,13.3,53.3,6.7,20.0,6.7
174_9,0.0,100.0,0.0,0.0,0.0,0.0
175_2,12.5,68.8,0.0,6.2,0.0,12.5
176_3,5.9,5.9,88.2,0.0,0.0,0.0
177_13,0.0,42.9,0.0,0.0,7.1,50.0
178_11,0.0,0.0,0.0,0.0,7.1,92.9
179_6,0.0,71.4,10.7,7.1,10.7,0.0
17_9,0.0,0.0,0.0,0.0,0.0,100.0
180_4,0.0,63.6,0.0,9.1,0.0,27.3
181_13,0.0,39.1,60.9,0.0,0.0,0.0
182_7,7.4,14.8,48.1,7.4,22.2,0.0
183_11,0.0,100.0,0.0,0.0,0.0,0.0
184_15,42.9,28.6,23.8,0.0,0.0,4.8
185_10,0.0,80.0,18.7,1.3,0.0,0.0
186_2,5.9,41.2,52.9,0.0,0.0,0.0
187_11,0.0,42.9,57.1,0.0,0.0,0.0
188_12,0.0,38.1,61.9,0.0,0.0,0.0
189_9,0.0,34.6,9.6,55.8,0.0,0.0
18_6,0.0,5.9,0.0,0.0,0.0,94.1
190_10,0.0,97.8,2.2,0.0,0.0,0.0
191_4,0.0,17.8,62.2,20.0,0.0,0.0
192_4,6.7,6.7,13.3,33.3,13.3,26.7
193_9,0.0,27.0,5.4,8.1,8.1,51.4
194_9,0.0,30.8,69.2,0.0,0.0,0.0
195_15,100.0,0.0,0.0,0.0,0.0,0.0
196_5,16.3,32.7,49.0,2.0,0.0,0.0
197_7,0.0,85.7,4.8,0.0,0.0,9.5
198_9,4.0,8.0,56.0,32.0,0.0,0.0
199_9,0.0,30.4,0.0,8.7,0.0,60.9
19_13,0.0,12.0,28.0,16.0,24.0,20.0
1_13,0.0,90.9,9.1,0.0,0.0,0.0
200_4,3.7,66.7,11.1,11.1,3.7,3.7
201_10,0.0,91.2,8.8,0.0,0.0,0.0
202_9,0.0,0.0,7.1,42.9,50.0,0.0
203_2,0.0,83.3,16.7,0.0,0.0,0.0
204_2,38.5,23.1,23.1,7.7,7.7,0.0
205_9,0.0,6.2,50.0,6.2,18.8,18.8
206_8,0.0,50.0,15.4,11.5,23.1,0.0
207_12,0.0,46.2,15.4,15.4,23.1,0.0
208_12,11.8,35.3,11.8,35.3,5.9,0.0
209_1,0.0,87.5,12.5,0.0,0.0,0.0
20_1,3.8,38.5,57.7,0.0,0.0,0.0
210_3,0.0,51.6,48.4,0.0,0.0,0.0
211_15,25.0,45.0,10.0,10.0,10.0,0.0
212_6,4.4,24.4,71.1,0.0,0.0,0.0
213_15,16.7,58.3,0.0,0.0,16.7,8.3
214_14,12.9,87.1,0.0,0.0,0.0,0.0
215_13,0.0,35.3,47.1,0.0,5.9,11.8
216_2,0.0,0.0,100.0,0.0,0.0,0.0
217_2,0.0,40.0,20.0,20.0,20.0,0.0
218_10,0.0,53.8,46.2,0.0,0.0,0.0
219_10,0.0,88.2,11.8,0.0,0.0,0.0
21_15,0.0,36.4,0.0,0.0,0.0,63.6
220_2,17.4,82.6,0.0,0.0,0.0,0.0
221_7,0.0,19.3,80.7,0.0,0.0,0.0
222_15,32.0,8.0,28.0,16.0,16.0,0.0
223_11,0.0,68.0,24.0,8.0,0.0,0.0
224_15,42.9,33.3,0.0,23.8,0.0,0.0
225_11,0.0,17.4,34.8,47.8,0.0,0.0
226_6,17.8,40.0,17.8,22.2,2.2,0.0
227_3,0.0,27.6,12.1,13.8,10.3,36.2
228_9,0.0,38.9,0.0,0.0,0.0,61.1
229_1,0.0,3.1,21.9,59.4,15.6,0.0
22_3,0.0,7.4,85.2,7.4,0.0,0.0
230_4,0.0,50.0,7.7,15.4,0.0,26.9
231_13,0.0,47.4,5.3,5.3,36.8,5.3
232_13,12.9,41.9,45.2,0.0,0.0,0.0
233_13,0.0,25.0,8.3,16.7,8.3,41.7
234_8,44.4,55.6,0.0,0.0,0.0,0.0
235_1,2.9,64.7,32.4,0.0,0.0,0.0
236_15,3.2,32.3,54.8,0.0,6.5,3.2
237_14,0.0,100.0,0.0,0.0,0.0,0.0
238_13,0.0,0.0,8.3,25.0,4.2,62.5
239_6,14.3,35.7,14.3,14.3,21.4,0.0
23_9,11.5,0.0,11.5,76.9,0.0,0.0
240_13,0.0,26.9,38.5,30.8,3.8,0.0
241_14,7.4,92.6,0.0,0.0,0.0,0.0
242_14,5.6,50.0,33.3,11.1,0.0,0.0
243_5,0.0,0.0,100.0,0.0,0.0,0.0
244_11,31.2,68.8,0.0,0.0,0.0,0.0
245_3,0.0,50.0,50.0,0.0,0.0,0.0
246_14,0.0,41.7,0.0,41.7,16.7,0.0
247_15,50.0,30.0,10.0,0.0,0.0,10.0
248_2,27.8,27.8,27.8,16.7,0.0,0.0
249_15,66.7,16.7,8.3,0.0,0.0,8.3
24_4,0.0,48.1,37.0,0.0,14.8,0.0
250_2,0.0,42.1,5.3,21.1,26.3,5.3
251_2,0.0,28.6,28.6,42.9,0.0,0.0
252_11,0.0,59.1,27.3,4.5,9.1,0.0
253_11,0.0,5.0,95.0,0.0,0.0,0.0
254_12,0.0,14.3,42.9,14.3,21.4,7.1
255_10,1.9,46.2,15.4,15.4,9.6,11.5
256_1,0.0,3.1,96.9,0.0,0.0,0.0
257_8,9.1,63.6,9.1,18.2,0.0,0.0
258_10,0.0,32.3,61.3,6.5,0.0,0.0
259_15,19.0,33.3,23.8,4.8,0.0,19.0
25_13,0.0,22.2,55.6,22.2,0.0,0.0
260_2,5.3,84.2,10.5,0.0,0.0,0.0
261_6,0.0,28.6,71.4,0.0,0.0,0.0
262_11,0.0,4.2,45.8,8.3,29.2,12.5
263_10,5.0,40.0,55.0,0.0,0.0,0.0
264_2,8.3,33.3,58.3,0.0,0.0,0.0
265_15,9.4,68.8,9.4,6.2,0.0,6.2
266_2,6.5,35.5,19.4,12.9,22.6,3.2
267_15,0.0,25.0,6.2,6.2,0.0,62.5
268_4,4.3,78.3,8.7,4.3,4.3,0.0
269_11,0.0,46.2,53.8,0.0,0.0,0.0
26_15,10.0,30.0,20.0,30.0,10.0,0.0
270_13,0.0,5.1,53.8,20.5,0.0,20.5
271_14,0.0,65.6,34.4,0.0,0.0,0.0
272_11,0.0,12.5,31.2,56.2,0.0,0.0
273_6,8.7,17.4,13.0,30.4,30.4,0.0
274_9,0.0,10.5,42.1,47.4,0.0,0.0
275_5,8.0,32.0,60.0,0.0,0.0,0.0
276_11,0.0,77.8,22.2,0.0,0.0,0.0
277_2,0.0,14.3,14.3,71.4,0.0,0.0
278_14,0.0,86.0,14.0,0.0,0.0,0.0
279_11,5.0,30.0,65.0,0.0,0.0,0.0
27_14,0.0,30.0,70.0,0.0,0.0,0.0
280_11,0.0,33.3,0.0,66.7,0.0,0.0
281_13,0.0,11.5,30.8,7.7,26.9,23.1
282_6,0.0,36.4,54.5,9.1,0.0,0.0
283_14,0.0,15.8,84.2,0.0,0.0,0.0
284_6,3.4,41.4,55.2,0.0,0.0,0.0
285_2,11.1,22.2,11.1,11.1,33.3,11.1
286_14,6.7,90.0,3.3,0.0,0.0,0.0
287_8,0.0,84.6,15.4,0.0,0.0,0.0
288_13,0.0,50.0,27.8,22.2,0.0,0.0
289_14,0.0,22.2,11.1,66.7,0.0,0.0
28_2,0.0,4.2,41.7,29.2,25.0,0.0
290_2,64.3,28.6,7.1,0.0,0.0,0.0
291_8,68.8,31.2,0.0,0.0,0.0,0.0
292_1,0.0,86.4,13.6,0.0,0.0,0.0
293_6,4.8,38.1,57.1,0.0,0.0,0.0
294_13,2.6,30.8,66.7,0.0,0.0,0.0
295_15,18.8,18.8,12.5,25.0,12.5,12.5
296_8,75.0,20.0,0.0,5.0,0.0,0.0
297_3,16.7,5.6,44.4,16.7,16.7,0.0
298_13,0.0,0.0,52.4,14.3,4.8,28.6
299_6,0.0,43.1,56.9,0.0,0.0,0.0
29_12,24.0,12.0,8.0,4.0,32.0,20.0
2_4,57.7,38.5,3.8,0.0,0.0,0.0
300_7,0.0,35.0,65.0,0.0,0.0,0.0
30_11,0.0,32.3,67.7,0.0,0.0,0.0
31_14,0.0,12.5,54.2,29.2,0.0,4.2
32_13,0.0,78.6,0.0,0.0,0.0,21.4
33_11,0.0,78.6,21.4,0.0,0.0,0.0
34_3,0.0,15.8,84.2,0.0,0.0,0.0
35_10,0.0,26.2,73.8,0.0,0.0,0.0
36_10,0.0,88.5,11.5,0.0,0.0,0.0
37_11,0.0,71.4,28.6,0.0,0.0,0.0
38_4,0.0,81.8,18.2,0.0,0.0,0.0
39_1,0.0,87.2,12.8,0.0,0.0,0.0
3_5,0.0,45.5,54.5,0.0,0.0,0.0
40_13,0.0,0.0,30.8,23.1,0.0,46.2
41_2,0.0,81.8,9.1,9.1,0.0,0.0
42_13,0.0,34.6,46.2,11.5,7.7,0.0
43_11,9.4,28.1,18.8,43.8,0.0,0.0
44_12,0.0,32.1,60.7,7.1,0.0,0.0
45_14,1.8,73.2,19.6,5.4,0.0,0.0
46_9,0.0,36.4,0.0,0.0,0.0,63.6
47_3,0.0,100.0,0.0,0.0,0.0,0.0
48_13,0.0,45.5,54.5,0.0,0.0,0.0
49_7,0.0,16.0,32.0,32.0,20.0,0.0
4_13,4.8,33.3,38.1,0.0,14.3,9.5
50_10,0.0,50.0,25.0,25.0,0.0,0.0
51_5,7.9,36.8,55.3,0.0,0.0,0.0
52_11,0.0,35.7,25.0,32.1,7.1,0.0
53_13,0.0,0.0,69.6,30.4,0.0,0.0
54_2,10.5,63.2,21.1,5.3,0.0,0.0
55_13,0.0,27.8,33.3,5.6,5.6,27.8
56_11,0.0,4.8,95.2,0.0,0.0,0.0
57_6,4.8,81.0,14.3,0.0,0.0,0.0
58_6,53.8,15.4,23.1,7.7,0.0,0.0
59_2,33.3,33.3,33.3,0.0,0.0,0.0
5_11,0.0,0.0,100.0,0.0,0.0,0.0
60_3,0.0,26.7,26.7,6.7,13.3,26.7
61_4,6.9,41.4,20.7,24.1,0.0,6.9
62_8,20.0,32.0,20.0,4.0,12.0,12.0
63_2,0.0,66.7,33.3,0.0,0.0,0.0
64_10,12.0,80.0,0.0,0.0,0.0,8.0
65_11,5.0,25.0,70.0,0.0,0.0,0.0
66_9,0.0,100.0,0.0,0.0,0.0,0.0
67_3,0.0,43.8,37.5,6.2,12.5,0.0
68_3,0.0,58.1,18.6,0.0,23.3,0.0
69_2,0.0,52.8,47.2,0.0,0.0,0.0
6_3,7.1,7.1,85.7,0.0,0.0,0.0
70_15,75.0,18.8,0.0,0.0,6.2,0.0
71_7,0.0,0.0,100.0,0.0,0.0,0.0
72_2,5.3,63.2,31.6,0.0,0.0,0.0
73_6,8.0,48.0,20.0,16.0,4.0,4.0
74_4,0.0,17.6,41.2,41.2,0.0,0.0
75_6,7.4,50.6,42.0,0.0,0.0,0.0
76_11,0.0,8.3,91.7,0.0,0.0,0.0
77_11,0.0,5.7,62.9,31.4,0.0,0.0
78_9,2.3,18.2,79.5,0.0,0.0,0.0
79_8,0.0,11.8,70.6,17.6,0.0,0.0
7_1,5.3,10.5,84.2,0.0,0.0,0.0
80_9,0.0,14.3,21.4,28.6,21.4,14.3
81_15,27.0,29.7,43.2,0.0,0.0,0.0
82_11,0.0,7.1,35.7,50.0,0.0,7.1
83_14,0.0,11.8,88.2,0.0,0.0,0.0
84_4,0.0,50.0,0.0,25.0,25.0,0.0
85_6,0.0,8.3,8.3,83.3,0.0,0.0
86_14,7.7,0.0,7.7,84.6,0.0,0.0
87_2,30.0,25.0,0.0,5.0,10.0,30.0
88_11,0.0,14.3,78.6,7.1,0.0,0.0
89_2,37.5,50.0,0.0,12.5,0.0,0.0
8_3,0.0,21.4,78.6,0.0,0.0,0.0
90_15,0.0,0.0,0.0,0.0,0.0,100.0
91_14,0.0,19.0,71.4,9.5,0.0,0.0
92_4,0.0,26.9,38.5,7.7,15.4,11.5
93_8,3.7,40.7,55.6,0.0,0.0,0.0
94_2,0.0,0.0,8.3,41.7,25.0,25.0
95_14,0.0,10.0,90.0,0.0,0.0,0.0
96_6,4.8,0.0,19.0,4.8,23.8,47.6
97_6,5.6,11.1,50.0,5.6,13.9,13.9
98_13,0.0,5.9,58.8,11.8,11.8,11.8
99_11,0.0,0.0,100.0,0.0,0.0,0.0
9_1,0.0,29.7,54.1,16.2,0.0,0.0
