,env_br_per_min,scene_br_per_min,seq_per min
100_1,11.8,16.0,2.5
101_7,12.4,13.9,6.2
102_8,4.0,5.0,4.0
103_13,9.0,7.9,4.5
104_6,8.7,7.0,1.0
105_14,1.2,1.2,1.2
106_2,0.7,1.3,1.3
107_7,1.4,3.6,2.9
108_3,15.7,13.3,4.8
109_13,11.5,9.2,9.2
10_15,10.1,6.1,5.0
110_2,10.1,8.7,5.8
111_10,16.1,17.9,3.6
112_8,10.9,7.9,4.9
113_11,16.9,30.4,23.7
114_12,10.0,12.0,8.0
115_14,9.3,13.0,7.4
116_15,10.0,6.7,5.0
117_9,10.3,11.1,4.8
118_13,21.2,21.6,2.7
119_8,6.9,6.9,2.7
11_2,12.9,12.9,3.7
120_7,13.5,16.2,10.8
121_13,27.2,27.2,9.1
122_2,5.6,2.8,2.8
123_2,3.8,5.7,5.7
124_13,16.9,7.4,1.3
125_2,15.2,5.1,3.8
126_13,18.8,11.2,7.5
127_9,5.2,17.3,17.3
128_5,2.9,2.9,2.9
129_5,12.6,12.6,4.2
12_13,13.5,15.7,4.5
130_14,11.1,12.6,6.3
131_13,11.1,12.3,8.6
132_3,15.3,6.8,3.4
133_3,15.3,13.8,2.9
134_2,4.0,4.0,2.0
135_2,18.1,9.1,3.0
136_5,8.8,2.5,2.5
137_15,17.3,10.8,8.6
138_9,3.1,4.6,4.6
139_11,8.5,14.1,14.1
13_2,3.7,5.6,5.6
140_15,10.2,7.7,7.7
141_14,8.3,13.1,2.4
142_15,5.6,7.4,5.6
143_9,11.0,2.7,2.7
144_11,7.7,7.7,4.8
145_3,15.6,17.1,7.8
146_12,16.5,14.7,8.2
147_1,13.4,20.9,14.9
148_4,23.8,17.3,2.2
149_11,5.8,5.8,5.8
14_15,5.8,2.9,2.9
150_15,6.4,8.5,8.5
151_13,25.1,26.5,12.6
152_10,8.0,2.4,1.6
153_11,4.1,8.1,8.1
154_1,18.3,9.1,4.6
155_6,2.6,3.9,3.9
156_11,12.0,9.6,7.2
157_9,8.0,6.2,3.6
158_2,2.7,2.7,2.7
159_12,16.3,14.2,4.2
15_13,19.7,21.5,7.2
160_9,12.1,12.1,6.6
161_3,10.3,4.8,1.6
162_6,4.9,2.1,0.1
163_4,15.7,14.4,6.6
164_3,4.6,2.7,1.8
165_10,12.1,13.0,5.6
166_13,7.2,10.7,7.2
167_4,27.8,24.6,3.3
168_2,0.0,8.6,8.6
169_13,23.7,16.1,3.4
16_15,20.9,18.3,10.4
170_13,24.1,24.1,2.0
171_11,5.5,13.6,13.6
172_10,16.5,11.7,1.4
173_1,19.2,21.1,9.6
174_9,12.5,9.0,3.6
175_2,18.3,11.0,9.2
176_3,5.1,10.1,10.1
177_13,19.5,20.6,5.4
178_11,8.5,14.9,10.6
179_6,0.0,6.4,3.2
17_9,0.0,16.4,16.4
180_4,20.0,21.3,4.0
181_13,17.5,18.9,4.0
182_7,7.5,9.7,8.6
183_11,3.4,5.1,5.1
184_15,14.0,11.2,8.4
185_10,11.1,8.8,0.8
186_2,0.0,13.7,13.7
187_11,4.1,6.2,6.2
188_12,8.6,11.4,8.6
189_9,7.3,4.5,1.1
18_6,8.5,8.5,2.6
190_10,12.2,12.9,3.2
191_4,22.1,21.4,5.8
192_4,23.4,33.2,7.8
193_9,3.1,2.4,1.6
194_9,10.1,11.3,3.4
195_15,2.3,2.3,2.3
196_5,4.1,3.6,1.8
197_7,5.6,9.8,7.0
198_9,2.3,3.4,2.3
199_9,7.5,6.2,2.5
19_13,21.6,21.6,6.0
1_13,17.8,20.7,8.9
200_4,23.1,18.7,3.3
201_10,15.4,12.0,2.6
202_9,2.1,4.3,4.3
203_2,15.0,17.5,7.5
204_2,9.0,9.0,9.0
205_9,1.8,3.7,3.7
206_8,14.6,15.8,4.5
207_12,14.0,18.6,18.6
208_12,15.8,8.8,3.5
209_1,18.4,22.0,3.7
20_1,18.0,15.8,3.4
210_3,17.0,13.2,5.7
211_15,13.3,13.3,7.4
212_6,0.0,1.3,0.7
213_15,14.4,9.6,4.8
214_14,4.7,5.7,2.8
215_13,25.5,27.3,7.3
216_2,2.2,2.2,2.2
217_2,20.5,20.5,11.7
218_10,9.1,11.4,4.6
219_10,3.5,12.4,5.3
21_15,18.3,7.8,7.8
220_2,1.3,1.3,1.3
221_7,3.1,4.6,4.6
222_15,13.8,9.2,6.9
223_11,7.0,3.5,3.5
224_15,7.0,4.2,4.2
225_11,15.0,15.0,2.5
226_6,2.0,3.3,1.3
227_3,11.5,7.0,1.0
228_9,8.4,10.1,3.4
229_1,15.5,16.4,3.7
22_3,0.0,7.7,2.2
230_4,25.4,21.0,2.2
231_13,24.0,24.0,9.6
232_13,22.6,20.7,3.0
233_13,27.9,29.2,5.1
234_8,11.6,13.2,3.3
235_1,3.4,4.2,2.5
236_15,11.4,6.7,6.7
237_14,1.5,2.9,1.5
238_13,15.5,16.8,10.3
239_6,2.2,4.3,2.2
23_9,2.2,3.4,2.2
240_13,24.2,18.5,2.3
241_14,7.7,7.7,2.2
242_14,6.5,4.9,4.9
243_5,0.0,16.8,16.8
244_11,14.3,7.2,5.4
245_3,16.1,9.4,2.7
246_14,3.7,4.9,2.5
247_15,8.6,8.6,8.6
248_2,1.7,3.3,3.3
249_15,22.5,15.0,15.0
24_4,29.2,16.2,2.2
250_2,1.5,12.2,3.1
251_2,17.5,26.2,26.2
252_11,16.0,10.7,5.3
253_11,11.9,11.9,4.5
254_12,12.9,15.0,12.9
255_10,10.0,4.5,1.7
256_1,13.8,3.7,3.7
257_8,17.3,12.0,4.0
258_10,13.9,14.8,4.6
259_15,15.4,12.6,8.4
25_13,20.6,24.0,13.7
260_2,15.5,17.0,6.2
261_6,0.7,4.8,1.4
262_11,11.0,12.2,6.1
263_10,10.3,11.8,8.8
264_2,0.0,10.0,10.0
265_15,18.0,6.3,5.4
266_2,3.8,1.9,1.9
267_15,14.4,10.8,9.0
268_4,20.2,13.9,7.6
269_11,6.6,13.3,3.3
26_15,22.9,22.9,8.6
270_13,21.5,13.1,1.5
271_14,0.0,6.4,1.8
272_11,5.5,7.4,5.5
273_6,10.2,7.7,5.1
274_9,11.1,7.9,7.9
275_5,3.5,3.5,2.3
276_11,14.9,16.0,6.4
277_2,6.3,6.3,4.2
278_14,14.5,4.6,1.2
279_11,10.4,10.4,6.0
27_14,0.0,6.1,6.1
280_11,9.9,9.9,9.9
281_13,23.3,24.5,3.5
282_6,5.3,9.2,5.3
283_14,1.6,3.2,3.2
284_6,0.0,2.0,1.0
285_2,9.7,6.5,6.5
286_14,10.7,9.7,1.9
287_8,14.6,15.8,3.4
288_13,18.4,18.4,6.7
289_14,3.3,6.5,6.5
28_2,2.5,3.7,2.5
290_2,2.2,4.3,4.3
291_8,5.4,7.2,7.2
292_1,13.3,13.3,2.7
293_6,2.1,1.4,1.4
294_13,20.5,11.0,2.4
295_15,19.7,12.5,9.0
296_8,13.2,13.2,2.9
297_3,15.1,5.0,3.4
298_13,17.1,10.0,4.3
299_6,9.0,2.7,1.8
29_12,15.1,12.8,7.0
2_4,5.6,2.2,2.2
300_7,15.0,9.0,4.5
30_11,16.9,14.1,11.2
31_14,8.6,12.3,4.9
32_13,26.7,28.9,13.3
33_11,23.4,17.0,6.4
34_3,7.9,7.9,4.8
35_10,13.7,13.7,1.4
36_10,0.0,10.0,2.2
37_11,8.2,1.4,1.4
38_4,22.7,14.0,1.7
39_1,16.4,14.2,6.7
3_5,2.7,16.4,16.4
40_13,21.8,24.2,21.8
41_2,0.0,15.7,3.9
42_13,24.5,16.3,2.3
43_11,9.0,5.4,4.5
44_12,14.8,1.1,1.1
45_14,8.3,5.2,2.6
46_9,10.9,10.9,8.2
47_3,0.0,6.2,6.2
48_13,26.3,23.4,14.6
49_7,9.2,8.1,6.9
4_13,24.7,32.0,13.1
50_10,12.5,5.4,3.6
51_5,6.9,6.9,3.1
52_11,14.6,14.6,4.2
53_13,15.7,17.0,6.5
54_2,6.4,3.2,3.2
55_13,21.8,23.5,8.4
56_11,4.9,4.9,3.5
57_6,0.0,8.4,8.4
58_6,5.7,4.5,2.3
59_2,0.0,16.9,16.9
5_11,0.0,3.3,3.3
60_3,4.0,17.9,9.9
61_4,25.0,22.0,7.0
62_8,11.9,19.0,1.2
63_2,0.0,9.6,7.7
64_10,0.0,11.5,8.0
65_11,7.4,7.4,7.4
66_9,7.8,9.1,3.9
67_3,20.8,17.0,7.6
68_3,16.0,8.7,1.3
69_2,10.5,13.7,4.0
6_3,4.1,4.1,4.1
70_15,11.1,9.2,7.4
71_7,0.0,3.5,3.5
72_2,10.0,4.6,1.5
73_6,6.9,6.9,3.4
74_4,26.1,27.8,10.4
75_6,1.1,1.1,1.1
76_11,0.0,4.8,4.8
77_11,5.8,3.3,2.5
78_9,5.3,4.6,3.3
79_8,1.7,3.5,3.5
7_1,12.1,9.1,1.5
80_9,2.2,4.3,4.3
81_15,11.0,6.3,1.6
82_11,12.3,10.3,6.2
83_14,10.1,11.8,3.4
84_4,25.8,28.4,20.6
85_6,2.6,20.6,20.6
86_14,4.7,4.7,4.7
87_2,5.9,5.9,3.0
88_11,8.4,10.5,8.4
89_2,5.4,5.4,1.8
8_3,21.2,10.6,4.2
90_15,10.0,6.7,3.3
91_14,5.5,6.9,2.7
92_4,23.3,20.0,5.6
93_8,9.9,9.9,2.2
94_2,2.5,7.5,7.5
95_14,15.2,15.2,6.1
96_6,8.5,5.6,2.8
97_6,2.4,3.3,1.6
98_13,27.7,27.7,9.2
99_11,0.0,4.7,4.7
9_1,12.6,11.8,2.4
